"Localidad","Dia","HoraInt","Homicidios"
"San Cristobal","miércoles","[12- 16)",7
"San Cristobal","jueves","[0-4)",5
"San Cristobal","miércoles","[0-4)",11
"San Cristobal","lunes","[4-8)",7
"San Cristobal","domingo","[12- 16)",6
"San Cristobal","martes","[4-8)",2
"Usme","sábado","[0-4)",69
"Usme","lunes","[4-8)",8
"Usme","martes","[20-24)",27
"Usme","viernes","[4-8)",9
"Usme","sábado","[4-8)",24
"Usme","sábado","[20-24)",24
"Usme","miércoles","[16-20)",18
"Usme","viernes","[20-24)",41
"Usme","jueves","[12- 16)",5
"Usme","domingo","[0-4)",20
"Usme","viernes","[12- 16)",6
"Usme","miércoles","[0-4)",7
"Usme","domingo","[20-24)",16
"Usme","viernes","[0-4)",18
"Usme","miércoles","[12- 16)",5
"Usme","miércoles","[8-12)",5
"Usme","sábado","[8-12)",16
"Usme","viernes","[8-12)",7
"Usme","jueves","[4-8)",4
"Usme","martes","[16-20)",11
"Usme","sábado","[12- 16)",8
"Usme","lunes","[20-24)",16
"Usme","domingo","[16-20)",8
"Usme","lunes","[8-12)",4
"Usme","lunes","[16-20)",13
"Usme","jueves","[0-4)",16
"Usme","lunes","[12- 16)",3
"Usme","viernes","[16-20)",14
"Usme","miércoles","[20-24)",10
"Usme","domingo","[4-8)",8
"Usme","martes","[8-12)",5
"Usme","jueves","[16-20)",9
"Usme","jueves","[20-24)",13
"Usme","martes","[4-8)",8
"Usme","domingo","[8-12)",3
"Usme","sábado","[16-20)",15
"Usme","martes","[0-4)",6
"Usme","lunes","[0-4)",7
"Usme","jueves","[8-12)",6
"Usme","martes","[12- 16)",5
"Usme","domingo","[12- 16)",5
"Usme","miércoles","[4-8)",6
"Tunjuelito","viernes","[16-20)",3
"Tunjuelito","sábado","[0-4)",15
"Tunjuelito","viernes","[8-12)",1
"Tunjuelito","martes","[20-24)",6
"Tunjuelito","martes","[16-20)",5
"Tunjuelito","sábado","[20-24)",8
"Tunjuelito","miércoles","[12- 16)",4
"Tunjuelito","sábado","[12- 16)",6
"Tunjuelito","jueves","[4-8)",1
"Tunjuelito","miércoles","[0-4)",3
"Tunjuelito","viernes","[0-4)",10
"Tunjuelito","jueves","[0-4)",4
"Tunjuelito","lunes","[16-20)",7
"Tunjuelito","viernes","[20-24)",16
"Tunjuelito","sábado","[8-12)",5
"Tunjuelito","domingo","[16-20)",5
"Tunjuelito","lunes","[20-24)",6
"Tunjuelito","jueves","[20-24)",14
"Tunjuelito","domingo","[0-4)",6
"Tunjuelito","sábado","[4-8)",7
"Tunjuelito","lunes","[4-8)",1
"Tunjuelito","lunes","[0-4)",4
"Tunjuelito","martes","[0-4)",5
"Tunjuelito","domingo","[8-12)",2
"Tunjuelito","viernes","[4-8)",4
"Tunjuelito","martes","[12- 16)",2
"Tunjuelito","miércoles","[16-20)",3
"Tunjuelito","jueves","[8-12)",1
"Tunjuelito","viernes","[12- 16)",2
"Tunjuelito","jueves","[12- 16)",5
"Tunjuelito","miércoles","[8-12)",2
"Tunjuelito","jueves","[16-20)",5
"Tunjuelito","miércoles","[4-8)",1
"Tunjuelito","miércoles","[20-24)",3
"Tunjuelito","domingo","[12- 16)",2
"Tunjuelito","domingo","[20-24)",5
"Tunjuelito","sábado","[16-20)",5
"Tunjuelito","lunes","[8-12)",7
"Tunjuelito","martes","[8-12)",1
"Tunjuelito","martes","[4-8)",1
"Tunjuelito","lunes","[12- 16)",1
"Tunjuelito","domingo","[4-8)",1
"Bosa","jueves","[16-20)",22
"Bosa","lunes","[12- 16)",14
"Bosa","lunes","[16-20)",27
"Bosa","jueves","[0-4)",12
"Bosa","sábado","[0-4)",104
"Bosa","sábado","[8-12)",13
"Bosa","jueves","[4-8)",6
"Bosa","viernes","[0-4)",27
"Bosa","viernes","[20-24)",44
"Bosa","sábado","[20-24)",30
"Bosa","martes","[16-20)",16
"Bosa","miércoles","[16-20)",25
"Bosa","domingo","[20-24)",17
"Bosa","lunes","[0-4)",12
"Bosa","martes","[12- 16)",14
"Bosa","miércoles","[12- 16)",10
"Bosa","sábado","[16-20)",15
"Bosa","sábado","[4-8)",36
"Bosa","lunes","[20-24)",28
"Bosa","jueves","[20-24)",27
"Bosa","domingo","[4-8)",9
"Bosa","miércoles","[20-24)",31
"Bosa","domingo","[0-4)",25
"Bosa","sábado","[12- 16)",11
"Bosa","miércoles","[0-4)",17
"Bosa","martes","[20-24)",29
"Bosa","viernes","[4-8)",15
"Bosa","domingo","[16-20)",21
"Bosa","viernes","[16-20)",21
"Bosa","jueves","[12- 16)",16
"Bosa","martes","[4-8)",5
"Bosa","lunes","[8-12)",8
"Bosa","domingo","[12- 16)",7
"Bosa","viernes","[8-12)",11
"Bosa","viernes","[12- 16)",12
"Bosa","domingo","[8-12)",3
"Bosa","miércoles","[4-8)",9
"Bosa","martes","[8-12)",5
"Bosa","miércoles","[8-12)",5
"Bosa","martes","[0-4)",7
"Bosa","lunes","[4-8)",10
"Bosa","jueves","[8-12)",3
"Kennedy","jueves","[8-12)",16
